,ISO,Name,ChildMortality
1,AFG,Afghanistan,67.9
4,ALB,Albania,8.8
7,DZA,Algeria,24.0
10,AND,Andorra,3.3
13,AGO,Angola,81.1
16,ATG,Antigua and Barbuda,7.4
19,ARG,Argentina,10.4
22,ARM,Armenia,12.6
25,AUS,Australia,3.5
28,AUT,Austria,3.6
31,AZE,Azerbaijan,23.0
34,BHS,Bahamas,7.2
37,BHR,Bahrain,7.3
40,BGD,Bangladesh,32.4
43,BRB,Barbados,12.4
46,BLR,Belarus,3.7
49,BEL,Belgium,3.8
52,BLZ,Belize,14.2
55,BEN,Benin,98.3
58,BTN,Bhutan,30.8
61,BOL,Bolivia (Plurinational State of),34.9
64,BIH,Bosnia and Herzegovina,5.7
67,BWA,Botswana,37.6
70,BRA,Brazil,14.8
73,BRN,Brunei Darussalam,10.5
76,BGR,Bulgaria,7.5
79,BFA,Burkina Faso,81.2
82,BDI,Burundi,61.2
85,CIV,Cote d'Ivoire,88.8
88,CPV,Cabo Verde,17.4
91,KHM,Cambodia,29.2
94,CMR,Cameroon,84.0
97,CAN,Canada,5.1
100,CAF,Central African Republic,121.5
103,TCD,Chad,123.2
106,CHL,Chile,7.4
109,CHN,China,9.3
112,COL,Colombia,14.7
115,COM,Comoros,69.0
118,COG,Congo,47.5
121,COK,Cook Islands,7.6
124,CRI,Costa Rica,9.0
127,HRV,Croatia,4.6
130,CUB,Cuba,5.4
133,CYP,Cyprus,2.7
136,CZE,Czechia,3.3
139,PRK,Democratic People's Republic of Korea,19.0
142,COD,Democratic Republic of the Congo,91.1
145,DNK,Denmark,4.3
148,DJI,Djibouti,61.7
151,DMA,Dominica,34.0
154,DOM,Dominican Republic,29.9
157,ECU,Ecuador,14.5
160,EGY,Egypt,22.1
163,SLV,El Salvador,14.5
166,GNQ,Equatorial Guinea,89.6
169,ERI,Eritrea,43.1
172,EST,Estonia,2.7
175,SWZ,Eswatini,53.9
178,ETH,Ethiopia,58.5
181,FJI,Fiji,25.3
184,FIN,Finland,2.3
187,FRA,France,4.2
190,GAB,Gabon,48.3
193,GMB,Gambia,63.6
196,GEO,Georgia,10.8
199,DEU,Germany,3.7
202,GHA,Ghana,49.3
205,GRC,Greece,5.3
208,GRD,Grenada,16.7
211,GTM,Guatemala,27.6
214,GIN,Guinea,85.7
217,GNB,Guinea-Bissau,84.2
220,GUY,Guyana,31.3
223,HTI,Haiti,71.7
226,HND,Honduras,18.2
229,HUN,Hungary,4.5
232,ISL,Iceland,2.1
235,IND,India,39.4
238,IDN,Indonesia,25.4
241,IRN,Iran (Islamic Republic of),14.9
244,IRQ,Iraq,30.4
247,IRL,Ireland,3.5
250,ISR,Israel,3.6
253,ITA,Italy,3.4
256,JAM,Jamaica,15.2
259,JPN,Japan,2.6
262,JOR,Jordan,17.0
265,KAZ,Kazakhstan,10.0
268,KEN,Kenya,45.6
271,KIR,Kiribati,54.6
274,KWT,Kuwait,8.1
277,KGZ,Kyrgyzstan,20.0
280,LAO,Lao People's Democratic Republic,63.4
283,LVA,Latvia,4.2
286,LBN,Lebanon,7.8
289,LSO,Lesotho,85.9
292,LBR,Liberia,74.7
295,LBY,Libya,12.4
298,LIE,Liechtenstein,
301,LTU,Lithuania,4.3
304,LUX,Luxembourg,2.6
307,MDG,Madagascar,44.2
310,MWI,Malawi,55.4
313,MYS,Malaysia,7.9
316,MDV,Maldives,7.9
319,MLI,Mali,106.0
322,MLT,Malta,6.4
325,MHL,Marshall Islands,34.0
328,MRT,Mauritania,79.0
331,MUS,Mauritius,13.1
334,MEX,Mexico,13.4
337,FSM,Micronesia (Federated States of),32.2
340,MCO,Monaco,3.3
343,MNG,Mongolia,17.2
346,MNE,Montenegro,3.5
349,MAR,Morocco,23.3
352,MOZ,Mozambique,72.4
355,MMR,Myanmar,48.6
358,NAM,Namibia,44.2
361,NRU,Nauru,33.0
364,NPL,Nepal,33.7
367,NLD,Netherlands,3.9
370,NZL,New Zealand,5.3
373,NIC,Nicaragua,17.2
376,NER,Niger,84.5
379,NGA,Nigeria,100.2
382,NIU,Niue,21.5
385,NOR,Norway,2.6
388,OMN,Oman,11.3
391,PAK,Pakistan,74.9
394,PLW,Palau,15.3
397,PAN,Panama,16.1
400,PNG,Papua New Guinea,53.4
403,PRY,Paraguay,21.0
406,PER,Peru,15.0
409,PHL,Philippines,28.1
412,POL,Poland,4.7
415,PRT,Portugal,3.7
418,QAT,Qatar,7.6
421,KOR,Republic of Korea,3.3
424,MDA,Republic of Moldova,15.5
427,ROU,Romania,7.8
430,RUS,Russian Federation,7.6
433,RWA,Rwanda,37.9
436,KNA,Saint Kitts and Nevis,13.7
439,LCA,Saint Lucia,16.6
442,VCT,Saint Vincent and the Grenadines,16.2
445,WSM,Samoa,16.5
448,SMR,San Marino,2.2
451,STP,Sao Tome and Principe,32.4
454,SAU,Saudi Arabia,7.4
457,SEN,Senegal,45.4
460,SRB,Serbia,5.7
463,SYC,Seychelles,14.2
466,SLE,Sierra Leone,110.5
469,SGP,Singapore,2.8
472,SVK,Slovakia,5.6
475,SVN,Slovenia,2.1
478,SLB,Solomon Islands,20.6
481,SOM,Somalia,127.2
484,ZAF,South Africa,37.1
487,SSD,South Sudan,96.4
490,ESP,Spain,3.1
493,LKA,Sri Lanka,8.8
496,PSE,State of Palestine,20.9
499,SDN,Sudan,63.2
502,SUR,Suriname,19.6
505,SWE,Sweden,2.8
508,CHE,Switzerland,4.2
511,SYR,Syrian Arab Republic,17.0
514,TJK,Tajikistan,33.6
517,THA,Thailand,9.5
520,MKD,The former Yugoslav Republic of Macedonia,13.7
523,TLS,Timor-Leste,47.6
526,TGO,Togo,72.9
529,TON,Tonga,16.0
532,TTO,Trinidad and Tobago,26.1
535,TUN,Tunisia,13.0
538,TUR,Turkey,11.6
541,TKM,Turkmenistan,47.3
544,TUV,Tuvalu,24.9
547,UGA,Uganda,49.0
550,UKR,Ukraine,8.8
553,ARE,United Arab Emirates,9.1
556,GBR,United Kingdom,4.3
559,TZA,United Republic of Tanzania,54.0
562,USA,United States,6.6
565,URY,Uruguay,8.2
568,UZB,Uzbekistan,22.5
571,VUT,Vanuatu,26.9
574,VEN,Venezuela (Bolivarian Republic of)**,30.9
577,VNM,Viet Nam,20.9
580,YEM,Yemen,55.4
583,ZMB,Zambia,60.0
586,ZWE,Zimbabwe,50.3
